,S,I,R
0.0,999999.0,1.0,0.0
0.1,999998.9000001,1.0899999,0.010000000000000002
0.2,999998.7910002299,1.1880997711000219,0.020899999000000002
0.30000000000000004,999998.6721903965,1.2950286068577888,0.032780996711000224
0.4,999998.5426877077,1.4115810095198476,0.04573128277957811
0.5,999998.4015298125,1.5386230946651982,0.05984709287477658
0.6000000000000001,999998.247667749,1.6770989272407513,0.07523332382142857
0.7000000000000001,999998.0799581502,1.828037536808965,0.09200431309383608
0.8,999997.8971547475,1.9925605641309145,0.11028468846192574
0.9,999997.6978991101,2.1718905958980446,0.1302102941032349
1.0,999997.4807105506,2.3673602495377413,0.15192920006221533
1.1,999997.243975122,2.580422075589568,0.17560280255759275
1.2000000000000002,999996.9859336256,2.8126593512218854,0.20140702331348842
1.3,999996.7046685382,3.0657978450776575,0.22953361682570728
1.4000000000000001,999996.3980897639,3.3417186408526374,0.26019159527648383
1.5,999996.0639191035,3.6424721148723167,0.2936087816850102
1.6,999995.6996733256,3.9702931715043346,0.3300335028337334
1.7000000000000002,999995.3026457159,4.3276178495839615,0.36973643454877675
1.8,999994.8698859637,4.717101423211093,0.41301261304461634
1.9000000000000001,999994.3981782413,5.141638131373269,0.4601836272767273
2.0,999993.8840173085,5.604382682942827,0.51160000859046
2.1,999993.3235824679,6.108773696776932,0.5676438354198883
2.2,999992.7127091767,6.658559251014475,0.6287315723876576
2.3000000000000003,999992.046858104,7.257824731320006,0.6953171648978024
2.4000000000000004,999991.3210814031,7.911023184887812,0.7678954122110024
2.5,999990.5299859504,8.62300840561509,0.8470056440598805
2.6,999989.6676932758,9.399070996119374,0.9332357281160315
2.7,999988.7277958876,10.244977674361671,1.0272264380772254
2.8000000000000003,999987.7033096686,11.167014116706275,1.1296762148208421
2.9000000000000004,999986.5866219887,12.172031655478389,1.241346355987905
3.0,999985.36943515,13.267498177665267,1.363066672542689
3.1,999984.0427047433,14.461553602555894,1.4957416543193416
3.2,999982.5965724598,15.763070350057854,1.6403571903449006
3.3000000000000003,999981.0202928579,17.181719248417796,1.7979878938454792
3.4000000000000004,999979.3021535435,18.728041370375443,1.9698050863296572
3.5,999977.4293881694,20.41352633069676,2.1570855000334115
3.6,999975.3880816109,22.25069762588158,2.3612207633403792
3.7,999973.1630666115,24.253205648975513,2.583727739599195
3.8000000000000003,999970.7378111348,26.43592906921686,2.82625979608895
3.9000000000000004,999968.0942955852,28.815085328131453,3.090619086781119
4.0,999965.2128789889,31.408351071103766,3.3787699400624334
4.1000000000000005,999962.0721531424,34.23499340689216,3.692853450773471
4.2,999958.6487836477,37.316012967553746,4.035203384842393
4.3,999954.9173366572,40.674299828381024,4.40836351451793
4.4,999950.8500900449,44.33480344235873,4.815106512801741
4.5,999946.4168276058,48.32471784701131,5.258454547225328
4.6000000000000005,999941.5846147602,52.673683514073595,5.741701725695441
4.7,999936.3175541041,57.414007334988774,6.268438560836176
4.800000000000001,999930.5765189971,62.58090236869619,6.842578634186064
4.9,999924.3188632187,68.21274912347018,7.468387657873026
5.0,999917.4981045482,74.35138030274283,8.150515149107727
5.1000000000000005,999910.0635799309,81.04239111700923,8.894028952135155
5.2,999901.9600696855,88.33547745128698,9.704452863305248
5.300000000000001,999893.1273879807,96.28480438149744,10.587807637818118
5.4,999883.4999365634,104.94940775497801,11.550655681633092
5.5,999873.0062184492,114.39363179165993,12.600149759182873
5.6000000000000005,999861.568307998,124.68760592492066,13.744086077099473
5.7,999849.1012734772,135.90776438653754,14.99096213634868
5.800000000000001,999835.5125478694,148.13741235046888,16.350039780214054
5.9,999820.7012433088,161.4673427874588,17.831413903718744
6.0,999804.5574041195,175.9965085489493,19.446087331593333
6.1000000000000005,999786.9611929861,191.83275459690506,21.206052417082827
6.2,999767.7820043085,209.09361572850796,23.124379963051876
6.300000000000001,999746.8774982657,227.90718561403804,25.215316120336954
6.4,999724.092548548,248.41306347560288,27.494387976477334
6.5,999699.2580961019,270.76338528688206,29.978518611233362
6.6000000000000005,999672.1899005629,295.12394697310174,32.686152464102186
6.7,999642.6871803266,321.67542773964055,35.6373919338332
6.800000000000001,999610.531131428,350.61472236079766,38.854146211229605
6.9,999575.4833145438,382.1563920213472,42.36029343483758
7.0,999537.2838985182,416.53424412678174,46.18185735505105
7.1000000000000005,999495.6497478157,454.0030523880345,50.34719979631887
7.2,999450.2723402323,494.8404294475612,54.887230320199215
7.300000000000001,999400.8155000346,539.3488653507178,59.83563461467483
7.4,999346.9129304475,587.8579462842632,65.22912326818201
7.5,999288.1655280615,640.7267692075018,71.10770273102465
7.6000000000000005,999224.1384602808,698.3465692960353,77.51497042309967
7.7,999154.3579853757,761.1435785082274,84.49843611606002
7.800000000000001,999078.3079930238,829.5821350750531,92.1098719011423
7.9,998995.4262414386,904.168065309505,100.40569325189283
8.0,998905.1002652588,985.4523608361865,109.44737390498788
8.1,998806.662926328,1074.0351761585953,119.30189751334976
8.200000000000001,998699.3875773116,1170.570173413455,130.0422492749357
8.3,998582.4828057812,1275.769243209749,141.74795100907025
8.4,998455.086723944,1390.4076326148158,154.50564344116773
8.5,998316.2607666036,1515.3295136290737,168.4097197673159
8.6,998164.9829572161,1651.4540278803283,183.56301490360664
8.700000000000001,998000.1405990567,1799.7818457609044,200.07755518240992
8.8,997820.522345545,1961.4022808149966,218.07537364001897
8.9,997624.8096007077,2137.501002844103,237.68939644816894
9.0,997411.5671976093,2329.368395914029,259.06440647661
9.1,997179.2332993745,2538.408610189808,282.3580904357503
9.200000000000001,996926.1084642035,2766.14935925887,307.7421765376484
9.3,996650.3438125879,3014.2525172819505,335.40367013023706
9.4,996349.9282318192,3284.5255728778325,365.54619530305655
9.5,996022.674549938,3578.933999030294,398.3914510318349
9.600000000000001,995666.2046085628,3899.614600415177,434.18079102213784
9.700000000000001,995277.9331616996,4248.889901274177,473.17693702628964
9.8,994855.0505257824,4629.283638178613,515.6658360390314
9.9,994394.5039050066,5043.537422572663,561.9586724208176
10.0,993892.977315682,5494.628637671484,612.3940466465442
10.100000000000001,993346.870034088,5985.789632888702,667.3403330232591
10.200000000000001,992752.2734944368,6520.528276211064,727.1982293521461
10.3,992104.9465673774,7102.649920508283,792.4035121142567
10.4,991400.2891553901,7736.280833290466,863.4300113193395
10.5,990633.314049879,8425.893130468708,940.7928196522442
10.600000000000001,989798.6170063124,9176.331242730654,1025.0517509569313
10.700000000000001,988890.3450089877,9992.839927628009,1116.8150633842379
10.8,987902.1627166226,10881.093820716893,1216.743462660518
10.9,986827.2171048017,11847.228494330593,1325.5544008676868
11.0,985658.1003522552,12897.872961933785,1444.0266858109928
11.100000000000001,984386.8110560307,14040.183528538884,1573.0054154303307
11.200000000000001,983004.7139070007,15281.878842283475,1713.4072507157196
11.3,981502.4980130687,16631.27594779267,1866.2260391385544
11.4,979870.1341242783,18097.32707710506,2032.538798616481
11.5,978096.831093245,19689.656837367394,2213.5120693875315
11.600000000000001,976170.9919974507,21418.59936478797,2410.4086377612057
11.700000000000001,974080.1704585386,23295.234910052193,2624.594631409085
11.8,971811.027819333,25331.425200157206,2857.5469805096072
11.9,969349.2919833437,27539.846784144967,3110.8612325111794
